Media,Strain,Replicate,Timepoint,OD600
MSbg,NCIB3610,1,96,4.59
MSbg,NCIB3610,2,96,4.33
MSbg,NRS5645,1,96,0.08
MSbg,NRS5645,2,96,0.08
MSbg,NRS3679,1,96,0.46
MSbg,NRS3679,2,96,0.54
MSbg,NRS3680,1,96,0.26
MSbg,NRS3680,2,96,0.31
MSbg,NRS3681,1,96,0.54
MSbg,NRS3681,2,96,0.61
MSbg,NRS3682,1,96,0.72
MSbg,NRS3682,2,96,0.76
MSbg,NRS3683,1,96,0.03
MSbg,NRS3683,2,96,0.03
MSbg,NRS3684,1,96,0.03
MSbg,NRS3684,2,96,0.04
MSbg,NCIB3610,3,96,5.23
MSbg,NCIB3610,4,96,5.8
MSbg,NRS5645,3,96,0.03
MSbg,NRS5645,4,96,0.04
MSbg,NRS3679,3,96,0.17
MSbg,NRS3679,4,96,0.19
MSbg,NRS3680,3,96,0.32
MSbg,NRS3680,4,96,0.37
MSbg,NRS3681,3,96,0.77
MSbg,NRS3681,4,96,0.65
MSbg,NRS3682,3,96,0.79
MSbg,NRS3682,4,96,0.72
MSbg,NRS3683,3,96,0.07
MSbg,NRS3683,4,96,0.05
MSbg,NRS3684,3,96,0.04
MSbg,NRS3684,4,96,0.06
MSbg,NCIB3610,5,96,3.5
MSbg,NRS5645,5,96,0.05
MSbg,NRS3679,5,96,0.73
MSbg,NRS3680,5,96,0.8
MSbg,NRS3681,5,96,0.88
MSbg,NRS3682,5,96,0.81
MSbg,NRS3683,5,96,0.04
MSbg,NRS3684,5,96,0.08
MSbg,NRS3685,1,96,1.64
MSbg,NRS3685,2,96,1.45
MSbg,NRS3685,3,96,1.49
MSbg,NRS6962,1,96,0.66
MSbg,NRS6962,2,96,0.74
MSbg,NRS6962,3,96,0.96
MSbg,NRS6962,4,96,0.76
MSbg,NRS6962,5,96,0.3
