Timepoint,Strain,Medium,Concentration,Replicate,Fluo_intensity
24,NaN,NaN,-,1,4162
24,NaN,NaN,-,2,3679
24,NaN,NaN,-,3,5665
24,NaN,NaN,-,4,4506
24,NaN,NaN,-,5,5797
24,NaN,NaN,0,1,1547
24,NaN,NaN,0.25,1,2783
24,NaN,NaN,0.5,1,2098
24,NaN,NaN,0.75,1,2167
24,NaN,NaN,1,1,2561
24,NaN,NaN,2,1,3624
24,NaN,NaN,0,2,1606
24,NaN,NaN,0.25,2,5295
24,NaN,NaN,0.5,2,3301
24,NaN,NaN,0.75,2,1919
24,NaN,NaN,1,2,2161
24,NaN,NaN,2,2,5979
24,NaN,NaN,+,1,231959
24,NaN,NaN,+,2,222160
24,NaN,NaN,+,3,233090
24,NaN,NaN,+,4,246665
24,NaN,NaN,+,5,247874
